web-scraper-order,web-scraper-start-url,name,skills
"1562460814-1906","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Technical Recruiter","Human Resources (HR)"
"1562460814-1929","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Getting Started with Microsoft Outlook","Office 365"
"1562460814-1933","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Software Project Manager","Scrum"
"1562460814-1869","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Improve Your Presentation Skills","Microsoft PowerPoint"
"1562460814-1912","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Craft Business Owner","Entrepreneurship"
"1562460814-1901","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Master Microsoft OneNote","Note Taking"
"1562460814-1945","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Small Business Owner","Management"
"1562460814-1935","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Digital Advertising Specialist","Search Engine Optimization (SEO)"
"1562460814-1904","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Managing Performance","Talent Management"
"1562460814-1921","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Manager","Talent Management"
"1562460814-1924","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an SEO Expert","Search Engine Optimization (SEO)"
"1562460814-1879","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Project Coordinator","Leading Meetings"
