web-scraper-order,web-scraper-start-url,name,skills
"1562492701-2031","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Master ZBrush","3D Visualization"
"1562492701-1999","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Advance Your Career as a Graphic Designer","Small Business Management"
"1562492701-2040","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Improve Your Underwater Photography Skills","Photography"
"1562492701-2051","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Video Editor","Film Production"
"1562492701-1985","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Portrait Photographer","Photography"
"1562492701-1978","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Stay Ahead in Sustainability and Green Building","Leadership in Energy and Environmental Design (LEED)"
"1562492701-1998","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Stay Ahead in Interior Design with Revit","Dynamo"
"1562492701-2019","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Improve your After Effects Skills","Motion Graphics"
"1562492701-1991","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Master Simulation and Structural Analysis for CAD","Manufacturing"
"1562492701-2029","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become an Architecture CAD Technician","Building Information Modeling (BIM)"
"1562492701-2039","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Master Product Design with Fusion 360","Product Design"
"1562492701-2048","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Photographer","Photo Management"
"1562492701-2016","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Music Business Entrepreneur","Pro Tools"
"1562492701-2053","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Design a Comic Book","Drawing"
"1562492701-2027","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become an Asset Artist for Games","Game Art"
"1562492701-1973","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Certified CAD Designer with SOLIDWORKS","Product Design"
"1562492701-2038","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Master Maya","Maya"
"1562492701-2011","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Video Production Crewmember","Film Production"
"1562492701-2059","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Music Producer","Pro Tools"
"1562492701-1988","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Songwriter","Pro Tools"
"1562492701-1965","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Improve Your Drawing Skills","Vector Illustration"
"1562492701-2034","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a Documentary Filmmaker","Video"
"1562492701-1989","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Improve Your Web Design Coding Skills","Web Design"
"1562492701-2024","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Become a 3D Visual Design Specialist","Product Design"
"1562492701-2025","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Master Substance Designer and Substance Painter","3D Visualization"
"1562492701-2007","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Improve Your Architectural Visualization Skills with Unreal","3D Architectural Rendering"
"1562492701-2009","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Advance Your Rendering Skills","V-Ray"
"1562492701-2013","https://www.linkedin.com/learning/topics/creative?entityType=LEARNING_PATH&u=49112041","Improve Your Lighting Skills","Film Production"
