web-scraper-order,web-scraper-start-url,name,skills
"1562496042-2156","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the MCSA: Windows Server 2012 Certification (70-410, 70-411, and 70-412)","Network Administration"
"1562496042-2114","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Build a watchOS 4 Application","Mobile Application Development"
"1562496042-2184","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Spring Developer","Spring Boot"
"1562496042-2134","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master the Fundamentals of AI and Machine Learning","Artificial Intelligence (AI)"
"1562496042-2083","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an Advanced WordPress Developer","WordPress"
"1562496042-2101","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the VCP6-DCV on vSphere 6 (2V0-621) Exam","Data Center"
"1562496042-2104","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Microsoft Cybersecurity Stack Skills","Cloud Security"
"1562496042-2071","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills in the Blockchain","Blockchain"
"1562496042-2094","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the Cisco Certified Network Associate (CCNA) Security Certification","Firewalls"
"1562496042-2137","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Software Tester","Software Development"
"1562496042-2125","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Data Engineer: Mastering the Concepts","Data Engineering"
"1562496042-2113","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Improve Your iOS Development Skills","Mobile Application Development"
"1562496042-2120","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Improve Your JavaScript Language Skills","Web Development"
"1562496042-2200","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the AZ-203 Developing Solutions for Microsoft Azure Exam","Cloud Development"
"1562496042-2124","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Vanilla JavaScript Developer","JavaScript"
"1562496042-2136","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an Arduino Developer","C (Programming Language)"
"1562496042-2197","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a CompTIA Advanced Security Practitioner (CASP+)","Enterprise Network Security"
"1562496042-2169","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the Administering Microsoft System Center Configuration Manager and Cloud Services Integration Exam (70-703)","Operating Systems"
